,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002 Total,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Total,,,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 Total,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005 Total,,,,,Grand Total,,,,
CLERGERE,Restaurant la Clergère,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.45,301.80,301.80,0.00,0.00,496.95,534.70,534.70,0.00,0.00,500.40,538.50,538.50,0.00,0.00,619.20,666.25,666.25,0.00,0.00,591.85,636.85,636.85,0.00,0.00,628.85,676.60,676.60,0.00,0.00,624.25,671.70,671.70,0.00,0.00,3'741.95,4'026.40,4'026.40,0.00,0.00,478.05,514.30,514.30,0.00,0.00,583.90,628.25,628.25,0.00,0.00,759.90,817.70,817.70,0.00,0.00,465.20,500.55,500.55,0.00,0.00,415.05,446.60,446.60,0.00,0.00,503.75,542.00,542.00,0.00,0.00,380.15,409.05,409.05,0.00,0.00,466.55,502.00,502.00,0.00,0.00,376.20,404.80,404.80,0.00,0.00,470.85,506.65,506.65,0.00,0.00,616.00,662.85,662.85,0.00,0.00,461.40,496.50,496.50,0.00,0.00,5'977.00,6'431.25,6'431.25,0.00,0.00,9'718.95,10'457.65,10'457.65,0.00,0.00
CONTINENTA,Hôtel continental,394,16'373.20,17'617.55,17'617.55,0.00,0.00,18'272.70,19'661.40,19'661.40,0.00,0.00,14'420.75,15'516.65,15'516.65,0.00,0.00,15'150.10,16'301.60,16'301.60,0.00,0.00,13'770.10,14'816.85,14'816.85,0.00,0.00,15'030.00,16'172.40,16'172.40,0.00,0.00,11'087.30,11'929.95,11'929.95,0.00,0.00,6'907.60,7'432.40,7'432.40,0.00,0.00,111'011.75,119'448.80,119'448.80,0.00,0.00,7'795.75,8'388.30,8'388.30,0.00,0.00,5'446.75,5'860.70,5'860.70,0.00,0.00,7'592.45,8'169.35,8'169.35,0.00,0.00,8'200.65,8'823.95,8'823.95,0.00,0.00,10'653.00,11'462.65,11'462.65,0.00,0.00,11'524.45,12'400.40,12'400.40,0.00,0.00,10'889.80,11'717.35,11'717.35,0.00,0.00,10'895.15,11'723.25,11'723.25,0.00,0.00,12'429.20,13'373.95,13'373.95,0.00,0.00,9'305.65,10'012.90,10'012.90,0.00,0.00,5'495.95,5'913.45,5'913.45,0.00,0.00,8'317.65,8'949.95,8'949.95,0.00,0.00,108'546.45,116'796.20,116'796.20,0.00,0.00,5'435.60,5'848.65,5'848.65,0.00,0.00,5'265.95,5'666.10,5'666.10,0.00,0.00,7'555.80,8'130.10,8'130.10,0.00,0.00,7'522.35,8'094.10,8'094.10,0.00,0.00,11'200.90,12'052.15,12'052.15,0.00,0.00,14'364.95,15'456.75,15'456.75,0.00,0.00,12'725.75,13'692.95,13'692.95,0.00,0.00,10'214.65,10'991.00,10'991.00,0.00,0.00,13'648.45,14'685.70,14'685.70,0.00,0.00,9'863.35,10'613.05,10'613.05,0.00,0.00,10'275.90,11'056.75,11'056.75,0.00,0.00,8'620.35,9'275.45,9'275.45,0.00,0.00,116'694.00,125'562.75,125'562.75,0.00,0.00,4'609.40,4'959.75,4'959.75,0.00,0.00,6'655.70,7'161.55,7'161.55,0.00,0.00,9'223.05,9'924.10,9'924.10,0.00,0.00,12'754.80,13'724.05,13'724.05,0.00,0.00,11'757.15,12'650.75,12'650.75,0.00,0.00,14'407.85,15'502.80,15'502.80,0.00,0.00,13'501.00,14'527.05,14'527.05,0.00,0.00,12'788.70,13'760.65,13'760.65,0.00,0.00,14'057.20,15'125.60,15'125.60,0.00,0.00,13'369.20,14'385.25,14'385.25,0.00,0.00,9'252.35,9'955.60,9'955.60,0.00,0.00,9'013.75,9'698.80,9'698.80,0.00,0.00,131'390.15,141'375.95,141'375.95,0.00,0.00,467'642.35,503'183.70,503'183.70,0.00,0.00
CORNAVIN,Cornavin Crige sa,421,19'625.55,21'117.00,21'117.00,0.00,0.00,20'359.50,21'906.80,21'906.80,0.00,0.00,24'671.20,26'546.20,26'546.20,0.00,0.00,23'293.75,25'064.20,25'064.20,0.00,0.00,20'468.25,22'023.85,22'023.85,0.00,0.00,20'274.40,21'815.20,21'815.20,0.00,0.00,18'814.00,20'243.90,20'243.90,0.00,0.00,15'215.70,16'372.00,16'372.00,0.00,0.00,162'722.35,175'089.15,175'089.15,0.00,0.00,15'146.85,16'298.15,16'298.15,0.00,0.00,15'625.85,16'813.40,16'813.40,0.00,0.00,19'271.20,20'735.70,20'735.70,0.00,0.00,15'813.65,17'015.55,17'015.55,0.00,0.00,19'772.85,21'275.75,21'275.75,0.00,0.00,20'835.90,22'419.60,22'419.60,0.00,0.00,26'574.75,28'594.40,28'594.40,0.00,0.00,24'959.80,26'856.75,26'856.75,0.00,0.00,21'119.10,22'724.20,22'724.20,0.00,0.00,22'534.50,24'247.30,24'247.30,0.00,0.00,18'670.50,20'089.50,20'089.50,0.00,0.00,17'445.35,18'771.25,18'771.25,0.00,0.00,237'770.30,255'841.55,255'841.55,0.00,0.00,13'543.60,14'573.00,14'573.00,0.00,0.00,14'090.05,15'160.90,15'160.90,0.00,0.00,20'109.30,21'637.70,21'637.70,0.00,0.00,17'868.95,19'226.95,19'226.95,0.00,0.00,20'448.75,22'002.95,22'002.95,0.00,0.00,24'029.90,25'856.30,25'856.30,0.00,0.00,27'555.80,29'650.05,29'650.05,0.00,0.00,24'807.30,26'692.70,26'692.70,0.00,0.00,22'618.55,24'337.60,24'337.60,0.00,0.00,20'142.05,21'672.80,21'672.80,0.00,0.00,18'277.85,19'666.95,19'666.95,0.00,0.00,16'599.75,17'861.50,17'861.50,0.00,0.00,240'091.85,258'339.40,258'339.40,0.00,0.00,11'421.00,12'289.00,12'289.00,0.00,0.00,13'788.40,14'836.40,14'836.40,0.00,0.00,16'904.00,18'188.75,18'188.75,0.00,0.00,14'630.85,15'742.90,15'742.90,0.00,0.00,17'228.65,18'538.00,18'538.00,0.00,0.00,19'163.20,20'619.65,20'619.65,0.00,0.00,22'631.85,24'352.05,24'352.05,0.00,0.00,23'077.30,24'831.05,24'831.05,0.00,0.00,20'737.35,22'313.50,22'313.50,0.00,0.00,18'274.90,19'663.75,19'663.75,0.00,0.00,14'419.20,15'515.00,15'515.00,0.00,0.00,12'153.25,13'076.95,13'076.95,0.00,0.00,204'429.95,219'967.00,219'967.00,0.00,0.00,845'014.45,909'237.10,909'237.10,0.00,0.00
CRISTAL,Crige Sa,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2'196.80,2'363.80,2'363.80,0.00,0.00,7'420.30,7'984.25,7'984.25,0.00,0.00,6'941.10,7'468.60,7'468.60,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16'558.20,17'816.65,17'816.65,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16'558.20,17'816.65,17'816.65,0.00,0.00
CROWNE PL,Crowne Plaza Geneva,227,33'294.75,35'825.10,35'825.10,0.00,0.00,62'407.85,67'150.85,67'150.85,0.00,0.00,46'350.50,49'873.20,49'873.20,0.00,0.00,44'172.70,47'529.95,47'529.95,0.00,0.00,41'434.85,44'583.85,44'583.85,0.00,0.00,41'128.65,44'254.45,44'254.45,0.00,0.00,34'734.10,37'373.95,37'373.95,0.00,0.00,27'640.95,29'741.70,29'741.70,0.00,0.00,331'164.35,356'333.05,356'333.05,0.00,0.00,28'505.80,30'672.20,30'672.20,0.00,0.00,33'867.85,36'441.85,36'441.85,0.00,0.00,48'903.40,52'620.25,52'620.25,0.00,0.00,34'463.30,37'082.50,37'082.50,0.00,0.00,44'817.30,48'223.45,48'223.45,0.00,0.00,46'439.10,49'968.60,49'968.60,0.00,0.00,39'337.40,42'326.90,42'326.90,0.00,0.00,19'510.40,20'993.25,20'993.25,0.00,0.00,31'401.65,33'788.15,33'788.15,0.00,0.00,31'100.15,33'463.80,33'463.80,0.00,0.00,25'828.75,27'791.60,27'791.60,0.00,0.00,31'444.10,33'833.90,33'833.90,0.00,0.00,415'619.20,447'206.45,447'206.45,0.00,0.00,22'468.45,24'176.10,24'176.10,0.00,0.00,27'068.50,29'125.65,29'125.65,0.00,0.00,36'556.10,39'334.30,39'334.30,0.00,0.00,29'308.95,31'536.35,31'536.35,0.00,0.00,31'807.60,34'224.85,34'224.85,0.00,0.00,40'471.15,43'547.00,43'547.00,0.00,0.00,34'199.30,36'798.45,36'798.45,0.00,0.00,23'993.10,25'816.60,25'816.60,0.00,0.00,33'599.65,36'153.35,36'153.35,0.00,0.00,35'812.25,38'534.00,38'534.00,0.00,0.00,32'571.65,35'047.15,35'047.15,0.00,0.00,23'483.70,25'268.40,25'268.40,0.00,0.00,371'340.40,399'562.20,399'562.20,0.00,0.00,27'973.25,30'099.25,30'099.25,0.00,0.00,34'632.60,37'264.70,37'264.70,0.00,0.00,40'527.60,43'607.65,43'607.65,0.00,0.00,31'449.20,33'839.40,33'839.40,0.00,0.00,32'460.15,34'927.00,34'927.00,0.00,0.00,38'179.85,41'081.40,41'081.40,0.00,0.00,36'498.60,39'272.45,39'272.45,0.00,0.00,26'071.05,28'052.45,28'052.45,0.00,0.00,36'480.75,39'253.20,39'253.20,0.00,0.00,36'600.05,39'381.80,39'381.80,0.00,0.00,31'521.55,33'917.25,33'917.25,0.00,0.00,24'813.30,26'699.20,26'699.20,0.00,0.00,397'207.95,427'395.75,427'395.75,0.00,0.00,1'515'331.90,1'630'497.45,1'630'497.45,0.00,0.00
CROWNE PLA,Crowne Plaza Genève,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15'347.25,16'513.65,16'513.65,0.00,0.00,15'347.25,16'513.65,16'513.65,0.00,0.00,40'238.05,43'296.10,43'296.10,0.00,0.00,47'740.30,51'368.65,51'368.65,0.00,0.00,51'363.20,55'266.75,55'266.75,0.00,0.00,43'647.25,46'964.45,46'964.45,0.00,0.00,49'819.50,53'605.90,53'605.90,0.00,0.00,46'397.20,49'923.45,49'923.45,0.00,0.00,48'538.85,52'227.90,52'227.90,0.00,0.00,44'093.90,47'445.05,47'445.05,0.00,0.00,42'225.50,45'434.50,45'434.50,0.00,0.00,56'097.35,60'360.80,60'360.80,0.00,0.00,48'613.10,52'307.70,52'307.70,0.00,0.00,56'145.65,60'412.75,60'412.75,0.00,0.00,574'919.85,618'614.00,618'614.00,0.00,0.00,41'968.00,45'157.70,45'157.70,0.00,0.00,57'958.90,62'363.55,62'363.55,0.00,0.00,74'733.25,80'413.05,80'413.05,0.00,0.00,60'314.65,64'898.60,64'898.60,0.00,0.00,58'927.65,63'406.05,63'406.05,0.00,0.00,73'529.10,79'117.30,79'117.30,0.00,0.00,62'797.75,67'570.20,67'570.20,0.00,0.00,54'512.50,58'655.50,58'655.50,0.00,0.00,60'109.30,64'677.60,64'677.60,0.00,0.00,64'591.25,69'500.15,69'500.15,0.00,0.00,57'312.25,61'668.05,61'668.05,0.00,0.00,62'431.75,67'176.40,67'176.40,0.00,0.00,729'186.35,784'604.15,784'604.15,0.00,0.00,56'772.60,61'087.30,61'087.30,0.00,0.00,65'603.60,70'589.50,70'589.50,0.00,0.00,81'236.70,87'410.60,87'410.60,0.00,0.00,74'209.40,79'849.45,79'849.45,0.00,0.00,64'051.45,68'919.45,68'919.45,0.00,0.00,67'552.65,72'686.55,72'686.55,0.00,0.00,70'072.85,75'398.60,75'398.60,0.00,0.00,65'057.30,70'001.55,70'001.55,0.00,0.00,74'906.25,80'599.10,80'599.10,0.00,0.00,89'695.80,96'512.55,96'512.55,0.00,0.00,74'339.05,79'988.60,79'988.60,0.00,0.00,62'055.10,66'771.40,66'771.40,0.00,0.00,845'552.75,909'814.65,909'814.65,0.00,0.00,2'165'006.20,2'329'546.45,2'329'546.45,0.00,0.00
DEBARCADER,Hostellerie du Débarcadère,491,3'448.10,3'710.20,3'710.20,0.00,0.00,3'074.20,3'307.90,3'307.90,0.00,0.00,3'619.50,3'894.55,3'894.55,0.00,0.00,3'451.45,3'713.75,3'713.75,0.00,0.00,3'530.90,3'799.20,3'799.20,0.00,0.00,3'271.65,3'520.30,3'520.30,0.00,0.00,2'222.50,2'391.35,2'391.35,0.00,0.00,957.70,1'030.45,1'030.45,0.00,0.00,23'576.00,25'367.70,25'367.70,0.00,0.00,903.95,972.55,972.55,0.00,0.00,1'178.20,1'267.75,1'267.75,0.00,0.00,2'728.45,2'935.85,2'935.85,0.00,0.00,1'957.55,2'106.25,2'106.25,0.00,0.00,3'209.20,3'453.05,3'453.05,0.00,0.00,3'032.65,3'263.05,3'263.05,0.00,0.00,3'341.10,3'595.15,3'595.15,0.00,0.00,3'225.85,3'471.00,3'471.00,0.00,0.00,3'041.55,3'272.70,3'272.70,0.00,0.00,3'106.50,3'342.65,3'342.65,0.00,0.00,1'688.40,1'816.70,1'816.70,0.00,0.00,901.00,969.45,969.45,0.00,0.00,28'314.40,30'466.15,30'466.15,0.00,0.00,562.50,605.25,605.25,0.00,0.00,1'512.90,1'627.85,1'627.85,0.00,0.00,2'666.70,2'869.45,2'869.45,0.00,0.00,2'502.20,2'692.35,2'692.35,0.00,0.00,2'853.20,3'070.10,3'070.10,0.00,0.00,3'060.05,3'292.65,3'292.65,0.00,0.00,3'371.45,3'627.70,3'627.70,0.00,0.00,2'626.70,2'826.40,2'826.40,0.00,0.00,2'979.30,3'205.75,3'205.75,0.00,0.00,2'219.50,2'388.10,2'388.10,0.00,0.00,1'717.90,1'848.40,1'848.40,0.00,0.00,1'394.70,1'500.60,1'500.60,0.00,0.00,27'467.10,29'554.60,29'554.60,0.00,0.00,735.05,790.90,790.90,0.00,0.00,1'006.60,1'083.10,1'083.10,0.00,0.00,2'421.05,2'605.05,2'605.05,0.00,0.00,1'994.10,2'145.65,2'145.65,0.00,0.00,2'150.10,2'313.50,2'313.50,0.00,0.00,3'234.00,3'479.80,3'479.80,0.00,0.00,2'690.15,2'894.50,2'894.50,0.00,0.00,2'489.75,2'679.10,2'679.10,0.00,0.00,3'132.50,3'370.60,3'370.60,0.00,0.00,2'402.05,2'584.55,2'584.55,0.00,0.00,1'604.30,1'726.25,1'726.25,0.00,0.00,1'160.00,1'248.15,1'248.15,0.00,0.00,25'019.65,26'921.15,26'921.15,0.00,0.00,104'377.15,112'309.60,112'309.60,0.00,0.00
DECURTINS,Hostellerie du XVI Siècle,437,1'357.65,1'460.90,1'460.90,0.00,0.00,1'120.45,1'205.55,1'205.55,0.00,0.00,1'308.55,1'408.05,1'408.05,0.00,0.00,1'325.75,1'426.65,1'426.65,0.00,0.00,1'297.70,1'396.40,1'396.40,0.00,0.00,1'472.40,1'584.30,1'584.30,0.00,0.00,1'278.50,1'375.55,1'375.55,0.00,0.00,1'126.30,1'211.90,1'211.90,0.00,0.00,10'287.30,11'069.30,11'069.30,0.00,0.00,1'006.20,1'082.60,1'082.60,0.00,0.00,950.50,1'022.70,1'022.70,0.00,0.00,1'358.60,1'461.70,1'461.70,0.00,0.00,932.50,1'003.30,1'003.30,0.00,0.00,1'330.00,1'431.05,1'431.05,0.00,0.00,71.05,76.45,76.45,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5'648.85,6'077.80,6'077.80,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15'936.15,17'147.10,17'147.10,0.00,0.00
DIABLOTINS,Hôtel Les Diablotins,409,996.45,1'072.20,1'072.20,0.00,0.00,1'086.40,1'168.95,1'168.95,0.00,0.00,2'802.25,3'015.20,3'015.20,0.00,0.00,2'075.80,2'233.50,2'233.50,0.00,0.00,1'835.65,1'975.10,1'975.10,0.00,0.00,2'345.35,2'523.65,2'523.65,0.00,0.00,1'346.15,1'448.45,1'448.45,0.00,0.00,1'661.00,1'787.25,1'787.25,0.00,0.00,14'149.05,15'224.30,15'224.30,0.00,0.00,3'604.80,3'878.75,3'878.75,0.00,0.00,4'045.90,4'353.40,4'353.40,0.00,0.00,2'802.90,3'015.95,3'015.95,0.00,0.00,3'118.70,3'355.75,3'355.75,0.00,0.00,677.60,729.10,729.10,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14'249.90,15'332.95,15'332.95,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28'398.95,30'557.25,30'557.25,0.00,0.00
DIVERS,Client divers,250,,,,,,,,,,,1'386.75,1'492.20,1'492.20,0.00,0.00,,,,,,,,,,,714.75,769.05,769.05,0.00,0.00,956.00,1'028.65,1'028.65,0.00,0.00,440.00,473.45,473.45,0.00,0.00,3'497.50,3'763.35,3'763.35,0.00,0.00,4'350.00,4'680.60,4'680.60,0.00,0.00,1'480.40,1'592.90,1'592.90,0.00,0.00,8'374.40,9'010.85,9'010.85,0.00,0.00,641.00,689.70,689.70,0.00,0.00,234.00,251.80,251.80,0.00,0.00,2'074.00,2'231.60,2'231.60,0.00,0.00,1'060.00,1'140.55,1'140.55,0.00,0.00,263.40,283.40,283.40,0.00,0.00,80.00,86.10,86.10,0.00,0.00,,,,,,942.00,1'013.55,1'013.55,0.00,0.00,176.00,189.40,189.40,0.00,0.00,19'675.20,21'170.45,21'170.45,0.00,0.00,,,,,,,,,,,324.00,348.60,348.60,0.00,0.00,,,,,,112.00,120.50,120.50,0.00,0.00,1'282.00,1'379.40,1'379.40,0.00,0.00,,,,,,217.00,233.50,233.50,0.00,0.00,128.00,137.75,137.75,0.00,0.00,983.40,1'058.15,1'058.15,0.00,0.00,,,,,,56.00,60.25,60.25,0.00,0.00,3'102.40,3'338.15,3'338.15,0.00,0.00,,,,,,-1'470.00,-1'429.70,-1'429.70,0.00,0.00,6'017.55,6'474.85,6'474.85,0.00,0.00,,,,,,1'593.35,1'714.40,1'714.40,0.00,0.00,1'790.70,1'926.75,1'926.75,0.00,0.00,171.00,184.05,184.05,0.00,0.00,,,,,,550.40,592.20,592.20,0.00,0.00,77.00,82.85,82.85,0.00,0.00,239.00,257.15,257.15,0.00,0.00,208.00,223.80,223.80,0.00,0.00,9'177.00,10'026.35,10'026.35,0.00,0.00,35'452.10,38'298.30,38'298.30,0.00,0.00
ELITE,EMAMIEM SA,403,,,,,,,,,,,2'168.05,2'332.80,2'332.80,0.00,0.00,1'824.05,1'962.70,1'962.70,0.00,0.00,2'845.95,3'062.25,3'062.25,0.00,0.00,343.60,369.70,369.70,0.00,0.00,,,,,,744.50,801.10,801.10,0.00,0.00,7'926.15,8'528.55,8'528.55,0.00,0.00,2'926.70,3'149.15,3'149.15,0.00,0.00,2'838.75,3'054.50,3'054.50,0.00,0.00,3'561.85,3'832.60,3'832.60,0.00,0.00,1'178.90,1'268.50,1'268.50,0.00,0.00,,,,,,,,,,,5'762.10,6'200.10,6'200.10,0.00,0.00,9'990.80,10'750.05,10'750.05,0.00,0.00,1'592.30,1'713.35,1'713.35,0.00,0.00,200.80,216.05,216.05,0.00,0.00,,,,,,500.90,538.95,538.95,0.00,0.00,28'553.10,30'723.25,30'723.25,0.00,0.00,579.25,623.30,623.30,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.25,623.30,623.30,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37'058.50,39'875.10,39'875.10,0.00,0.00
,Hôtel Elite,481,1'210.05,1'302.00,1'302.00,0.00,0.00,988.10,1'063.20,1'063.20,0.00,0.00,1'594.45,1'715.60,1'715.60,0.00,0.00,1'321.95,1'422.35,1'422.35,0.00,0.00,1'181.70,1'271.50,1'271.50,0.00,0.00,1'248.55,1'343.55,1'343.55,0.00,0.00,773.15,831.90,831.90,0.00,0.00,891.30,959.05,959.05,0.00,0.00,9'209.25,9'909.15,9'909.15,0.00,0.00,271.05,291.65,291.65,0.00,0.00,419.40,451.30,451.30,0.00,0.00,848.90,913.45,913.45,0.00,0.00,900.20,968.65,968.65,0.00,0.00,776.05,835.00,835.00,0.00,0.00,1'186.85,1'277.05,1'277.05,0.00,0.00,1'516.25,1'631.45,1'631.45,0.00,0.00,1'086.70,1'169.30,1'169.30,0.00,0.00,1'254.20,1'349.65,1'349.65,0.00,0.00,925.05,995.35,995.35,0.00,0.00,673.55,724.75,724.75,0.00,0.00,1'060.15,1'140.70,1'140.70,0.00,0.00,10'918.35,11'748.30,11'748.30,0.00,0.00,704.10,757.60,757.60,0.00,0.00,974.85,1'048.90,1'048.90,0.00,0.00,738.75,794.90,794.90,0.00,0.00,778.45,837.55,837.55,0.00,0.00,893.40,961.30,961.30,0.00,0.00,1'497.20,1'610.95,1'610.95,0.00,0.00,1'415.30,1'522.95,1'522.95,0.00,0.00,1'297.15,1'395.80,1'395.80,0.00,0.00,1'449.05,1'559.10,1'559.10,0.00,0.00,1'075.25,1'156.90,1'156.90,0.00,0.00,767.95,826.25,826.25,0.00,0.00,1'038.85,1'117.80,1'117.80,0.00,0.00,12'630.30,13'590.00,13'590.00,0.00,0.00,800.55,861.40,861.40,0.00,0.00,877.15,943.80,943.80,0.00,0.00,895.25,963.30,963.30,0.00,0.00,690.30,742.80,742.80,0.00,0.00,1'012.70,1'089.65,1'089.65,0.00,0.00,1'443.70,1'553.40,1'553.40,0.00,0.00,1'590.60,1'711.45,1'711.45,0.00,0.00,1'410.50,1'517.65,1'517.65,0.00,0.00,1'599.20,1'720.75,1'720.75,0.00,0.00,873.60,940.00,940.00,0.00,0.00,940.95,1'012.45,1'012.45,0.00,0.00,1'377.30,1'482.00,1'482.00,0.00,0.00,13'511.80,14'538.65,14'538.65,0.00,0.00,46'269.70,49'786.10,49'786.10,0.00,0.00
ELITE Total,,,1'210.05,1'302.00,1'302.00,0.00,0.00,988.10,1'063.20,1'063.20,0.00,0.00,3'762.50,4'048.40,4'048.40,0.00,0.00,3'146.00,3'385.05,3'385.05,0.00,0.00,4'027.65,4'333.75,4'333.75,0.00,0.00,1'592.15,1'713.25,1'713.25,0.00,0.00,773.15,831.90,831.90,0.00,0.00,1'635.80,1'760.15,1'760.15,0.00,0.00,17'135.40,18'437.70,18'437.70,0.00,0.00,3'197.75,3'440.80,3'440.80,0.00,0.00,3'258.15,3'505.80,3'505.80,0.00,0.00,4'410.75,4'746.05,4'746.05,0.00,0.00,2'079.10,2'237.15,2'237.15,0.00,0.00,776.05,835.00,835.00,0.00,0.00,1'186.85,1'277.05,1'277.05,0.00,0.00,7'278.35,7'831.55,7'831.55,0.00,0.00,11'077.50,11'919.35,11'919.35,0.00,0.00,2'846.50,3'063.00,3'063.00,0.00,0.00,1'125.85,1'211.40,1'211.40,0.00,0.00,673.55,724.75,724.75,0.00,0.00,1'561.05,1'679.65,1'679.65,0.00,0.00,39'471.45,42'471.55,42'471.55,0.00,0.00,1'283.35,1'380.90,1'380.90,0.00,0.00,974.85,1'048.90,1'048.90,0.00,0.00,738.75,794.90,794.90,0.00,0.00,778.45,837.55,837.55,0.00,0.00,893.40,961.30,961.30,0.00,0.00,1'497.20,1'610.95,1'610.95,0.00,0.00,1'415.30,1'522.95,1'522.95,0.00,0.00,1'297.15,1'395.80,1'395.80,0.00,0.00,1'449.05,1'559.10,1'559.10,0.00,0.00,1'075.25,1'156.90,1'156.90,0.00,0.00,767.95,826.25,826.25,0.00,0.00,1'038.85,1'117.80,1'117.80,0.00,0.00,13'209.55,14'213.30,14'213.30,0.00,0.00,800.55,861.40,861.40,0.00,0.00,877.15,943.80,943.80,0.00,0.00,895.25,963.30,963.30,0.00,0.00,690.30,742.80,742.80,0.00,0.00,1'012.70,1'089.65,1'089.65,0.00,0.00,1'443.70,1'553.40,1'553.40,0.00,0.00,1'590.60,1'711.45,1'711.45,0.00,0.00,1'410.50,1'517.65,1'517.65,0.00,0.00,1'599.20,1'720.75,1'720.75,0.00,0.00,873.60,940.00,940.00,0.00,0.00,940.95,1'012.45,1'012.45,0.00,0.00,1'377.30,1'482.00,1'482.00,0.00,0.00,13'511.80,14'538.65,14'538.65,0.00,0.00,83'328.20,89'661.20,89'661.20,0.00,0.00
ETAP HOTEL,Etap Hôtel Genève,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4'758.80,5'120.55,5'120.55,0.00,0.00,12'083.25,13'001.60,13'001.60,0.00,0.00,16'632.95,17'897.00,17'897.00,0.00,0.00,13'061.25,14'054.00,14'054.00,0.00,0.00,15'920.45,17'130.55,17'130.55,0.00,0.00,16'826.60,18'105.40,18'105.40,0.00,0.00,17'473.65,18'801.85,18'801.85,0.00,0.00,14'872.25,16'002.55,16'002.55,0.00,0.00,111'629.20,120'113.50,120'113.50,0.00,0.00,111'629.20,120'113.50,120'113.50,0.00,0.00
