,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 Total,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 Total,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 Total,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025 Total,,,,,2026,,,,,Grand Total,,,,
HOTEL PAIX,SOCIETE ANONYME DU,6816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10'839.85,11'717.90,11'717.90,0.00,0.00,10'095.45,10'913.20,10'913.20,0.00,0.00,20'935.30,22'631.10,22'631.10,0.00,0.00,6'921.70,7'482.30,7'482.30,0.00,0.00,27'857.00,30'113.40,30'113.40,0.00,0.00
HOTEL PORT,Hôtel du Port,6769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2'544.75,2'740.70,2'740.70,0.00,0.00,1'978.65,2'130.95,2'130.95,0.00,0.00,1'864.85,2'008.45,2'008.45,0.00,0.00,1'767.60,1'903.75,1'903.75,0.00,0.00,1'550.00,1'669.40,1'669.40,0.00,0.00,9'705.85,10'453.25,10'453.25,0.00,0.00,998.20,1'079.20,1'079.20,0.00,0.00,1'691.20,1'828.25,1'828.25,0.00,0.00,1'278.20,1'381.85,1'381.85,0.00,0.00,1'657.05,1'791.45,1'791.45,0.00,0.00,2'062.20,2'229.50,2'229.50,0.00,0.00,2'248.65,2'430.80,2'430.80,0.00,0.00,2'754.15,2'977.20,2'977.20,0.00,0.00,2'710.80,2'930.35,2'930.35,0.00,0.00,2'646.35,2'860.80,2'860.80,0.00,0.00,1'766.00,1'909.25,1'909.25,0.00,0.00,1'146.10,1'238.95,1'238.95,0.00,0.00,1'654.10,1'788.10,1'788.10,0.00,0.00,22'613.00,24'445.70,24'445.70,0.00,0.00,1'040.70,1'125.00,1'125.00,0.00,0.00,1'090.75,1'179.25,1'179.25,0.00,0.00,1'357.15,1'467.25,1'467.25,0.00,0.00,1'207.95,1'305.80,1'305.80,0.00,0.00,2'127.75,2'300.15,2'300.15,0.00,0.00,2'591.05,2'801.00,2'801.00,0.00,0.00,3'359.60,3'631.60,3'631.60,0.00,0.00,3'044.25,3'290.90,3'290.90,0.00,0.00,2'596.90,2'807.15,2'807.15,0.00,0.00,1'727.60,1'867.55,1'867.55,0.00,0.00,1'379.85,1'491.80,1'491.80,0.00,0.00,1'914.65,2'070.00,2'070.00,0.00,0.00,23'438.20,25'337.45,25'337.45,0.00,0.00,1'260.25,1'362.50,1'362.50,0.00,0.00,57'017.30,61'598.90,61'598.90,0.00,0.00
HOTEL REX,Madras Curry SA,575,551.85,594.40,594.40,0.00,0.00,548.85,591.15,591.15,0.00,0.00,560.75,603.95,603.95,0.00,0.00,759.05,817.50,817.50,0.00,0.00,619.25,666.95,666.95,0.00,0.00,584.50,629.50,629.50,0.00,0.00,569.60,613.50,613.50,0.00,0.00,923.50,994.55,994.55,0.00,0.00,580.30,625.00,625.00,0.00,0.00,557.35,600.25,600.25,0.00,0.00,724.65,780.50,780.50,0.00,0.00,909.90,979.95,979.95,0.00,0.00,7'889.55,8'497.20,8'497.20,0.00,0.00,567.10,610.80,610.80,0.00,0.00,730.60,786.85,786.85,0.00,0.00,909.55,979.60,979.60,0.00,0.00,718.45,773.75,773.75,0.00,0.00,564.30,607.80,607.80,0.00,0.00,649.20,699.25,699.25,0.00,0.00,633.75,682.60,682.60,0.00,0.00,640.10,689.40,689.40,0.00,0.00,529.10,569.85,569.85,0.00,0.00,792.95,854.00,854.00,0.00,0.00,885.15,953.30,953.30,0.00,0.00,911.20,981.40,981.40,0.00,0.00,8'531.45,9'188.60,9'188.60,0.00,0.00,653.50,706.45,706.45,0.00,0.00,856.00,925.35,925.35,0.00,0.00,695.75,752.10,752.10,0.00,0.00,850.70,919.60,919.60,0.00,0.00,710.35,767.90,767.90,0.00,0.00,918.00,992.40,992.40,0.00,0.00,890.35,962.50,962.50,0.00,0.00,730.60,789.80,789.80,0.00,0.00,760.10,821.65,821.65,0.00,0.00,759.00,820.50,820.50,0.00,0.00,935.25,1'011.05,1'011.05,0.00,0.00,1'059.50,1'145.30,1'145.30,0.00,0.00,9'819.10,10'614.60,10'614.60,0.00,0.00,536.00,579.45,579.45,0.00,0.00,729.45,788.55,788.55,0.00,0.00,640.30,692.15,692.15,0.00,0.00,684.00,739.45,739.45,0.00,0.00,881.45,952.80,952.80,0.00,0.00,557.05,602.15,602.15,0.00,0.00,1'091.00,1'179.40,1'179.40,0.00,0.00,896.20,968.85,968.85,0.00,0.00,363.00,392.40,392.40,0.00,0.00,688.45,744.20,744.20,0.00,0.00,540.10,583.85,583.85,0.00,0.00,782.35,845.70,845.70,0.00,0.00,8'389.35,9'068.95,9'068.95,0.00,0.00,606.20,655.35,655.35,0.00,0.00,35'235.65,38'024.70,38'024.70,0.00,0.00
HÔTELELITE,HÔTEL ELITE,6782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6'439.15,6'960.70,6'960.70,0.00,0.00,5'762.05,6'228.75,6'228.75,0.00,0.00,5'045.00,5'453.70,5'453.70,0.00,0.00,5'932.10,6'412.65,6'412.65,0.00,0.00,4'390.80,4'746.45,4'746.45,0.00,0.00,5'544.95,5'994.20,5'994.20,0.00,0.00,5'652.85,6'110.60,6'110.60,0.00,0.00,4'626.35,5'001.10,5'001.10,0.00,0.00,4'838.65,5'230.70,5'230.70,0.00,0.00,48'231.90,52'138.85,52'138.85,0.00,0.00,3'274.65,3'539.90,3'539.90,0.00,0.00,4'140.55,4'476.00,4'476.00,0.00,0.00,5'068.75,5'479.35,5'479.35,0.00,0.00,4'823.20,5'213.90,5'213.90,0.00,0.00,5'965.90,6'449.15,6'449.15,0.00,0.00,5'388.15,5'824.75,5'824.75,0.00,0.00,6'070.80,6'562.55,6'562.55,0.00,0.00,4'667.75,5'045.90,5'045.90,0.00,0.00,5'660.15,6'118.70,6'118.70,0.00,0.00,5'226.40,5'649.70,5'649.70,0.00,0.00,4'491.70,4'855.50,4'855.50,0.00,0.00,6'049.10,6'539.15,6'539.15,0.00,0.00,60'827.10,65'754.55,65'754.55,0.00,0.00,1'936.55,2'093.50,2'093.50,0.00,0.00,110'995.55,119'986.90,119'986.90,0.00,0.00
HOTELVILLE,LA TRADITION CULINAIRE FARERI Sàrl,6749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.00,201.40,201.40,0.00,0.00,187.00,201.40,201.40,0.00,0.00,187.00,201.40,201.40,0.00,0.00,187.00,201.40,201.40,0.00,0.00,748.00,805.60,805.60,0.00,0.00,93.50,100.70,100.70,0.00,0.00,187.00,201.40,201.40,0.00,0.00,187.00,201.40,201.40,0.00,0.00,187.00,201.40,201.40,0.00,0.00,187.00,201.40,201.40,0.00,0.00,93.50,100.70,100.70,0.00,0.00,187.00,201.40,201.40,0.00,0.00,93.50,100.70,100.70,0.00,0.00,187.00,201.40,201.40,0.00,0.00,,,,,,187.00,201.40,201.40,0.00,0.00,,,,,,1'589.50,1'711.90,1'711.90,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.50,544.35,544.35,0.00,0.00,244.00,263.80,263.80,0.00,0.00,443.50,479.45,479.45,0.00,0.00,1'191.00,1'287.60,1'287.60,0.00,0.00,411.00,444.35,444.35,0.00,0.00,3'939.50,4'249.45,4'249.45,0.00,0.00
INSTANT PR,LINSTANTFB.SNC,6807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.15,695.30,695.30,0.00,0.00,643.15,695.30,695.30,0.00,0.00,518.90,560.80,560.80,0.00,0.00,576.05,622.70,622.70,0.00,0.00,632.40,683.70,683.70,0.00,0.00,502.90,543.70,543.70,0.00,0.00,673.45,728.00,728.00,0.00,0.00,413.75,447.30,447.30,0.00,0.00,498.70,539.05,539.05,0.00,0.00,502.40,543.15,543.15,0.00,0.00,566.10,612.10,612.10,0.00,0.00,696.05,752.30,752.30,0.00,0.00,601.35,650.05,650.05,0.00,0.00,485.05,524.40,524.40,0.00,0.00,6'667.10,7'207.25,7'207.25,0.00,0.00,,,,,,7'310.25,7'902.55,7'902.55,0.00,0.00
INTERCITYH,Steigenberger Hotels Aktiengesellschaft,6776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3'977.50,4'283.75,4'283.75,0.00,0.00,6'178.05,6'653.85,6'653.85,0.00,0.00,9'810.60,10'566.05,10'566.05,0.00,0.00,19'966.15,21'503.65,21'503.65,0.00,0.00,5'251.60,5'676.90,5'676.90,0.00,0.00,6'295.20,6'805.15,6'805.15,0.00,0.00,7'965.20,8'610.40,8'610.40,0.00,0.00,12'052.45,13'028.70,13'028.70,0.00,0.00,12'208.50,13'197.35,13'197.35,0.00,0.00,20'599.65,22'268.25,22'268.25,0.00,0.00,17'073.80,18'456.70,18'456.70,0.00,0.00,14'292.10,15'449.90,15'449.90,0.00,0.00,21'500.40,23'242.00,23'242.00,0.00,0.00,19'246.05,20'804.95,20'804.95,0.00,0.00,11'233.85,12'143.80,12'143.80,0.00,0.00,15'093.95,16'316.65,16'316.65,0.00,0.00,162'812.75,176'000.75,176'000.75,0.00,0.00,12'168.80,13'154.50,13'154.50,0.00,0.00,17'582.45,19'006.65,19'006.65,0.00,0.00,19'567.05,21'152.10,21'152.10,0.00,0.00,23'605.55,25'517.55,25'517.55,0.00,0.00,25'451.60,27'513.10,27'513.10,0.00,0.00,24'141.95,26'097.55,26'097.55,0.00,0.00,33'884.80,36'629.45,36'629.45,0.00,0.00,21'869.35,23'640.80,23'640.80,0.00,0.00,27'132.20,29'329.85,29'329.85,0.00,0.00,27'367.50,29'584.40,29'584.40,0.00,0.00,21'638.50,23'391.25,23'391.25,0.00,0.00,26'514.10,28'661.75,28'661.75,0.00,0.00,280'923.85,303'678.95,303'678.95,0.00,0.00,19'802.85,21'406.90,21'406.90,0.00,0.00,483'505.60,522'590.25,522'590.25,0.00,0.00
JETTY BOUT,Host-Spot Sàrl,6771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'078.75,1'161.85,1'161.85,0.00,0.00,1'017.55,1'095.85,1'095.85,0.00,0.00,1'899.15,2'045.05,2'045.05,0.00,0.00,1'934.80,2'083.95,2'083.95,0.00,0.00,1'816.90,1'956.75,1'956.75,0.00,0.00,1'715.25,1'847.25,1'847.25,0.00,0.00,908.15,978.15,978.15,0.00,0.00,10'370.55,11'168.85,11'168.85,0.00,0.00,,,,,,1'483.10,1'603.30,1'603.30,0.00,0.00,1'389.05,1'501.30,1'501.30,0.00,0.00,2'474.65,2'674.95,2'674.95,0.00,0.00,3'184.10,3'442.00,3'442.00,0.00,0.00,3'195.95,3'454.75,3'454.75,0.00,0.00,3'189.00,3'447.00,3'447.00,0.00,0.00,3'492.20,3'775.10,3'775.10,0.00,0.00,3'272.35,3'537.45,3'537.45,0.00,0.00,2'942.45,3'180.75,3'180.75,0.00,0.00,1'937.30,2'094.05,2'094.05,0.00,0.00,1'796.00,1'941.60,1'941.60,0.00,0.00,28'356.15,30'652.25,30'652.25,0.00,0.00,,,,,,227.55,246.05,246.05,0.00,0.00,4'011.70,4'336.65,4'336.65,0.00,0.00,6'231.00,6'735.80,6'735.80,0.00,0.00,6'445.50,6'967.70,6'967.70,0.00,0.00,5'514.25,5'960.95,5'960.95,0.00,0.00,7'339.60,7'933.80,7'933.80,0.00,0.00,6'093.40,6'586.55,6'586.55,0.00,0.00,5'964.95,6'448.20,6'448.20,0.00,0.00,5'476.55,5'920.15,5'920.15,0.00,0.00,5'025.85,5'432.55,5'432.55,0.00,0.00,5'792.75,6'261.30,6'261.30,0.00,0.00,58'123.10,62'829.70,62'829.70,0.00,0.00,4'396.50,4'752.25,4'752.25,0.00,0.00,101'246.30,109'403.05,109'403.05,0.00,0.00
JH CHEF EV,JH CHEF EVENT Sàrl - Hôtel de Mauvoisin,6768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3'066.50,3'302.60,3'302.60,0.00,0.00,5'325.75,5'735.55,5'735.55,0.00,0.00,6'795.15,7'318.25,7'318.25,0.00,0.00,3'149.95,3'392.40,3'392.40,0.00,0.00,-512.25,-551.70,-551.70,0.00,0.00,,,,,,,,,,,17'825.10,19'197.10,19'197.10,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,1'154.60,1'248.20,1'248.20,0.00,0.00,2'978.25,3'219.40,3'219.40,0.00,0.00,3'706.75,4'006.90,4'006.90,0.00,0.00,2'886.90,3'120.90,3'120.90,0.00,0.00,466.75,504.60,504.60,0.00,0.00,-959.05,-1'036.75,-1'036.75,0.00,0.00,,,,,,10'234.20,11'063.25,11'063.25,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,335.00,362.15,362.15,0.00,0.00,5'521.25,5'968.65,5'968.65,0.00,0.00,4'738.25,5'122.20,5'122.20,0.00,0.00,3'871.25,4'184.85,4'184.85,0.00,0.00,963.50,1'041.65,1'041.65,0.00,0.00,,,,,,,,,,,15'429.25,16'679.50,16'679.50,0.00,0.00,,,,,,43'488.55,46'939.85,46'939.85,0.00,0.00
KASHMIR,Winning & Butt SARL,465,402.20,433.20,433.20,0.00,0.00,481.00,518.05,518.05,0.00,0.00,480.70,517.70,517.70,0.00,0.00,422.00,454.50,454.50,0.00,0.00,461.50,497.00,497.00,0.00,0.00,472.40,508.80,508.80,0.00,0.00,388.80,418.80,418.80,0.00,0.00,371.20,399.80,399.80,0.00,0.00,356.90,384.40,384.40,0.00,0.00,435.80,469.25,469.25,0.00,0.00,329.80,355.15,355.15,0.00,0.00,293.30,315.80,315.80,0.00,0.00,4'895.60,5'272.45,5'272.45,0.00,0.00,433.10,466.45,466.45,0.00,0.00,379.90,409.10,409.10,0.00,0.00,383.40,412.95,412.95,0.00,0.00,377.40,406.45,406.45,0.00,0.00,396.60,427.20,427.20,0.00,0.00,374.00,402.70,402.70,0.00,0.00,435.20,468.75,468.75,0.00,0.00,440.20,474.05,474.05,0.00,0.00,419.60,451.85,451.85,0.00,0.00,482.80,519.90,519.90,0.00,0.00,315.50,339.80,339.80,0.00,0.00,514.30,553.90,553.90,0.00,0.00,4'952.00,5'333.10,5'333.10,0.00,0.00,462.10,499.55,499.55,0.00,0.00,415.40,449.10,449.10,0.00,0.00,414.60,448.20,448.20,0.00,0.00,483.10,522.35,522.35,0.00,0.00,375.30,405.70,405.70,0.00,0.00,375.70,406.10,406.10,0.00,0.00,372.20,402.40,402.40,0.00,0.00,296.90,320.95,320.95,0.00,0.00,372.30,402.45,402.45,0.00,0.00,316.30,341.90,341.90,0.00,0.00,,,,,,,,,,,3'883.90,4'198.70,4'198.70,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13'731.50,14'804.25,14'804.25,0.00,0.00
LA SOURCE,Hôtel de la Source,68,1'105.00,1'190.10,1'190.10,0.00,0.00,1'775.05,1'911.75,1'911.75,0.00,0.00,2'079.30,2'239.45,2'239.45,0.00,0.00,4'089.00,4'403.90,4'403.90,0.00,0.00,3'777.70,4'068.65,4'068.65,0.00,0.00,5'412.60,5'829.40,5'829.40,0.00,0.00,5'042.00,5'430.30,5'430.30,0.00,0.00,4'147.25,4'466.60,4'466.60,0.00,0.00,4'297.90,4'628.85,4'628.85,0.00,0.00,3'336.90,3'593.85,3'593.85,0.00,0.00,2'920.80,3'145.70,3'145.70,0.00,0.00,319.30,343.90,343.90,0.00,0.00,38'302.80,41'252.45,41'252.45,0.00,0.00,2'624.95,2'827.10,2'827.10,0.00,0.00,1'886.75,2'032.05,2'032.05,0.00,0.00,2'720.80,2'930.30,2'930.30,0.00,0.00,3'723.25,4'009.95,4'009.95,0.00,0.00,4'257.15,4'584.95,4'584.95,0.00,0.00,4'771.95,5'139.40,5'139.40,0.00,0.00,4'433.00,4'774.40,4'774.40,0.00,0.00,4'707.70,5'070.20,5'070.20,0.00,0.00,4'701.60,5'063.65,5'063.65,0.00,0.00,5'001.60,5'386.75,5'386.75,0.00,0.00,2'860.35,3'080.55,3'080.55,0.00,0.00,1'239.10,1'334.50,1'334.50,0.00,0.00,42'928.20,46'233.80,46'233.80,0.00,0.00,1'314.75,1'421.30,1'421.30,0.00,0.00,1'792.65,1'937.90,1'937.90,0.00,0.00,2'927.20,3'164.25,3'164.25,0.00,0.00,2'697.40,2'915.90,2'915.90,0.00,0.00,4'085.35,4'416.25,4'416.25,0.00,0.00,5'368.15,5'803.00,5'803.00,0.00,0.00,4'641.65,5'017.60,5'017.60,0.00,0.00,3'604.85,3'896.90,3'896.90,0.00,0.00,4'312.55,4'661.85,4'661.85,0.00,0.00,4'910.50,5'308.30,5'308.30,0.00,0.00,3'320.10,3'589.05,3'589.05,0.00,0.00,2'045.80,2'211.50,2'211.50,0.00,0.00,41'020.95,44'343.80,44'343.80,0.00,0.00,1'608.45,1'738.75,1'738.75,0.00,0.00,2'698.60,2'917.25,2'917.25,0.00,0.00,2'859.20,3'090.80,3'090.80,0.00,0.00,2'714.45,2'934.35,2'934.35,0.00,0.00,4'547.55,4'915.95,4'915.95,0.00,0.00,5'021.60,5'428.40,5'428.40,0.00,0.00,3'550.75,3'838.45,3'838.45,0.00,0.00,4'459.15,4'820.25,4'820.25,0.00,0.00,7'485.05,8'091.40,8'091.40,0.00,0.00,7'234.80,7'820.85,7'820.85,0.00,0.00,4'480.45,4'843.40,4'843.40,0.00,0.00,3'716.10,4'017.10,4'017.10,0.00,0.00,50'376.15,54'456.95,54'456.95,0.00,0.00,1'727.40,1'867.35,1'867.35,0.00,0.00,174'355.50,188'154.35,188'154.35,0.00,0.00
LAC BRETAY,Hôtel Bretaye Sarl,34,761.85,820.55,820.55,0.00,0.00,1'643.40,1'769.80,1'769.80,0.00,0.00,809.40,871.75,871.75,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'105.80,1'190.95,1'190.95,0.00,0.00,,,,,,50.00,53.85,53.85,0.00,0.00,4'370.45,4'706.90,4'706.90,0.00,0.00,554.95,597.70,597.70,0.00,0.00,1'125.30,1'212.00,1'212.00,0.00,0.00,326.15,351.30,351.30,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.75,607.20,607.20,0.00,0.00,,,,,,898.90,968.10,968.10,0.00,0.00,3'469.05,3'736.30,3'736.30,0.00,0.00,755.60,816.75,816.75,0.00,0.00,1'183.45,1'279.15,1'279.15,0.00,0.00,1'309.60,1'415.75,1'415.75,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3'248.65,3'511.65,3'511.65,0.00,0.00,605.70,654.85,654.85,0.00,0.00,824.60,891.45,891.45,0.00,0.00,526.70,569.35,569.35,0.00,0.00,,,,,,,,,,,,,,,,132.00,142.70,142.70,0.00,0.00,,,,,,,,,,,,,,,,,,,,,1'183.50,1'279.35,1'279.35,0.00,0.00,3'272.50,3'537.70,3'537.70,0.00,0.00,394.65,426.70,426.70,0.00,0.00,14'755.30,15'919.25,15'919.25,0.00,0.00
L'ACCENT,L'Accent Sàrl,6790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.45,378.85,378.85,0.00,0.00,373.20,403.45,403.45,0.00,0.00,268.55,290.30,290.30,0.00,0.00,289.55,313.00,313.00,0.00,0.00,243.00,262.70,262.70,0.00,0.00,245.10,265.00,265.00,0.00,0.00,332.95,359.95,359.95,0.00,0.00,241.60,261.20,261.20,0.00,0.00,273.45,295.65,295.65,0.00,0.00,2'617.85,2'830.10,2'830.10,0.00,0.00,206.60,223.35,223.35,0.00,0.00,-1'297.60,-1'402.70,-1'402.70,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1'091.00,-1'179.35,-1'179.35,0.00,0.00,,,,,,1'526.85,1'650.75,1'650.75,0.00,0.00
L'ATELIER,Indalo Sàrl,5,732.75,789.20,789.20,0.00,0.00,619.10,666.80,666.80,0.00,0.00,576.90,621.35,621.35,0.00,0.00,339.90,366.10,366.10,0.00,0.00,541.95,583.70,583.70,0.00,0.00,260.60,280.65,280.65,0.00,0.00,657.90,708.60,708.60,0.00,0.00,473.90,510.40,510.40,0.00,0.00,493.75,531.75,531.75,0.00,0.00,355.10,382.45,382.45,0.00,0.00,378.80,408.00,408.00,0.00,0.00,582.70,627.60,627.60,0.00,0.00,6'013.35,6'476.60,6'476.60,0.00,0.00,770.40,829.70,829.70,0.00,0.00,819.30,882.35,882.35,0.00,0.00,,,,,,688.80,741.85,741.85,0.00,0.00,,,,,,,,,,,530.00,570.80,570.80,0.00,0.00,530.35,571.20,571.20,0.00,0.00,330.30,355.75,355.75,0.00,0.00,263.85,284.20,284.20,0.00,0.00,337.60,363.60,363.60,0.00,0.00,576.90,621.30,621.30,0.00,0.00,4'847.50,5'220.75,5'220.75,0.00,0.00,785.30,848.90,848.90,0.00,0.00,758.55,820.05,820.05,0.00,0.00,339.50,367.00,367.00,0.00,0.00,483.10,522.25,522.25,0.00,0.00,,,,,,,,,,,864.45,934.50,934.50,0.00,0.00,520.35,562.50,562.50,0.00,0.00,324.00,350.25,350.25,0.00,0.00,582.25,629.40,629.40,0.00,0.00,347.85,376.05,376.05,0.00,0.00,760.95,822.60,822.60,0.00,0.00,5'766.30,6'233.50,6'233.50,0.00,0.00,605.45,654.55,654.55,0.00,0.00,608.20,657.50,657.50,0.00,0.00,551.30,595.95,595.95,0.00,0.00,,,,,,,,,,,297.70,321.80,321.80,0.00,0.00,686.10,741.70,741.70,0.00,0.00,362.30,391.65,391.65,0.00,0.00,317.65,343.40,343.40,0.00,0.00,408.30,441.40,441.40,0.00,0.00,,,,,,347.20,375.35,375.35,0.00,0.00,4'184.20,4'523.30,4'523.30,0.00,0.00,508.60,549.85,549.85,0.00,0.00,21'319.95,23'004.00,23'004.00,0.00,0.00
LE CEDRE,Warcom SA,523,1'982.30,2'134.90,2'134.90,0.00,0.00,2'554.40,2'751.20,2'751.20,0.00,0.00,3'586.45,3'862.65,3'862.65,0.00,0.00,2'397.45,2'582.10,2'582.10,0.00,0.00,3'716.60,4'002.90,4'002.90,0.00,0.00,3'020.70,3'253.30,3'253.30,0.00,0.00,3'348.20,3'605.95,3'605.95,0.00,0.00,3'671.70,3'954.35,3'954.35,0.00,0.00,4'381.50,4'718.85,4'718.85,0.00,0.00,2'868.00,3'088.90,3'088.90,0.00,0.00,2'774.20,2'987.85,2'987.85,0.00,0.00,2'281.10,2'456.75,2'456.75,0.00,0.00,36'582.60,39'399.70,39'399.70,0.00,0.00,3'543.00,3'815.85,3'815.85,0.00,0.00,3'193.15,3'439.10,3'439.10,0.00,0.00,4'166.95,4'487.80,4'487.80,0.00,0.00,2'474.20,2'664.70,2'664.70,0.00,0.00,4'602.35,4'956.80,4'956.80,0.00,0.00,5'025.95,5'412.95,5'412.95,0.00,0.00,4'233.00,4'559.00,4'559.00,0.00,0.00,4'753.85,5'119.95,5'119.95,0.00,0.00,7'213.15,7'768.60,7'768.60,0.00,0.00,2'857.50,3'077.50,3'077.50,0.00,0.00,2'906.75,3'130.50,3'130.50,0.00,0.00,1'826.70,1'967.35,1'967.35,0.00,0.00,46'796.55,50'400.10,50'400.10,0.00,0.00,3'601.35,3'893.10,3'893.10,0.00,0.00,3'501.95,3'785.65,3'785.65,0.00,0.00,3'183.35,3'441.20,3'441.20,0.00,0.00,3'077.80,3'327.10,3'327.10,0.00,0.00,2'856.10,3'087.50,3'087.50,0.00,0.00,3'900.60,4'216.55,4'216.55,0.00,0.00,4'026.75,4'352.90,4'352.90,0.00,0.00,2'444.05,2'642.10,2'642.10,0.00,0.00,3'911.85,4'228.70,4'228.70,0.00,0.00,3'736.10,4'038.75,4'038.75,0.00,0.00,2'477.10,2'677.80,2'677.80,0.00,0.00,2'179.10,2'355.70,2'355.70,0.00,0.00,38'896.10,42'047.05,42'047.05,0.00,0.00,2'635.40,2'848.85,2'848.85,0.00,0.00,2'675.40,2'892.20,2'892.20,0.00,0.00,2'791.75,3'017.95,3'017.95,0.00,0.00,2'183.45,2'360.35,2'360.35,0.00,0.00,3'119.85,3'372.50,3'372.50,0.00,0.00,3'173.50,3'430.60,3'430.60,0.00,0.00,3'849.05,4'160.85,4'160.85,0.00,0.00,3'568.15,3'857.15,3'857.15,0.00,0.00,3'527.50,3'813.25,3'813.25,0.00,0.00,2'946.25,3'184.85,3'184.85,0.00,0.00,3'118.55,3'371.20,3'371.20,0.00,0.00,1'962.95,2'122.05,2'122.05,0.00,0.00,35'551.80,38'431.80,38'431.80,0.00,0.00,2'103.95,2'274.35,2'274.35,0.00,0.00,159'931.00,172'553.00,172'553.00,0.00,0.00
